Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matched,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
7,1,1,1,3,3,3,3,5,3,3,3,0.0012941360473632812,0.002293109893798828,0.030286073684692383,13,7,7,7,0,0,0,0,0,0,0,0,False,0.015433549880981445,0,0.0032951831817626953
7,1,1,1,3,3,3,3,5,3,3,3,0.0014638900756835938,0.0023071765899658203,0.03307318687438965,13,7,7,7,0,0,0,0,0,0,0,0,False,0.017931222915649414,0,0.0033178329467773438
7,1,1,1,3,3,3,3,5,3,3,3,0.0013000965118408203,0.002379894256591797,0.031080245971679688,13,7,7,7,0,0,0,0,0,0,0,0,False,0.015447854995727539,0,0.003858804702758789
10,2,2,2,2,2,2,2,5,3,3,3,0.0014088153839111328,0.002593994140625,0.0440521240234375,14,6,6,6,0,0,0,0,0,0,0,0,False,0.02810382843017578,0,0.0033960342407226562
9,3,3,3,2,2,2,2,5,3,3,4,0.001461029052734375,0.0027179718017578125,0.07585883140563965,13,7,7,7,0,0,0,0,0,0,0,0,False,0.05974149703979492,0,0.0035479068756103516
9,1,1,1,2,2,2,2,5,3,3,2,0.001207113265991211,0.002160787582397461,0.026324987411499023,13,5,5,5,0,0,0,0,0,0,0,0,False,0.012175798416137695,0,0.0029561519622802734
9,1,1,1,2,2,2,2,5,3,3,3,0.001165151596069336,0.0021550655364990234,0.02494215965270996,13,5,5,5,0,0,0,0,0,0,0,0,False,0.011101245880126953,0,0.0030031204223632812
8,2,2,2,2,2,2,2,5,3,3,4,0.0012350082397460938,0.0021398067474365234,0.0418698787689209,12,6,6,6,0,0,0,0,0,0,0,0,False,0.027994155883789062,0,0.0029735565185546875
8,2,2,2,2,2,2,2,5,3,3,3,0.0011680126190185547,0.0020842552185058594,0.041738033294677734,12,6,6,6,0,0,0,0,0,0,0,0,False,0.027711868286132812,0,0.003192424774169922
8,0,0,0,2,2,2,2,5,2,2,2,0.001107931137084961,0.002271890640258789,0.018592119216918945,12,4,4,4,0,0,0,0,0,0,0,0,False,0.004407167434692383,0,0.0027163028717041016
