Num_Qubits,Num_Layers,Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_CCX,L2_CCX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matched,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
10,15,19,19,14,9,15,15,103,51,15,15,15,15,100,51,0.006520986557006836,0.027564048767089844,68.28000569343567,364,364,359,174,1,2,4,6,1,1,0,0,False,68.19731569290161,0,0.02842402458190918
10,15,16,16,12,3,16,16,106,103,16,16,15,15,107,98,0.006195068359375,0.02834606170654297,111.97743010520935,384,384,380,378,2,3,12,18,4,6,0,0,False,111.82292413711548,0,0.04201984405517578
10,15,18,18,13,10,14,14,110,110,16,16,15,15,99,93,0.006155967712402344,0.028290987014770508,129.23685789108276,382,382,378,374,0,0,0,0,0,0,0,0,False,129.07563996315002,0,0.04019784927368164
10,15,19,19,12,7,14,14,81,79,13,13,15,15,81,77,0.005613803863525391,0.025229930877685547,86.26110911369324,320,320,309,306,4,5,18,22,5,6,0,0,False,86.13873171806335,0,0.03631424903869629
10,15,17,17,13,7,25,25,94,94,13,13,15,15,74,75,0.006417036056518555,0.0255889892578125,112.40851187705994,340,340,328,326,3,3,12,12,3,3,0,0,False,112.27109456062317,0,0.03815340995788574
10,15,18,18,14,8,24,24,87,87,12,12,15,15,67,80,0.006143093109130859,0.02395176887512207,105.94389295578003,318,318,314,312,4,4,18,18,5,5,0,0,False,105.81965136528015,0,0.035637617111206055
10,15,12,12,7,5,21,21,101,101,14,14,15,15,82,91,0.006207942962646484,0.02781510353088379,77.63818907737732,348,348,345,342,2,2,8,8,2,2,0,0,False,77.50110983848572,0,0.03918170928955078
10,15,21,21,16,13,24,24,86,84,12,12,15,15,76,80,0.005666971206665039,0.02405405044555664,118.73952412605286,321,321,310,309,3,4,14,18,4,5,0,0,False,118.61346316337585,0,0.034709930419921875
10,15,9,9,8,6,20,20,89,89,12,12,15,15,78,87,0.006022930145263672,0.023648977279663086,70.12148594856262,301,301,298,293,1,1,4,4,1,1,0,0,False,70.00523614883423,0,0.03362226486206055
10,15,19,19,16,10,15,15,93,90,13,13,15,15,87,101,0.006029844284057617,0.024940967559814453,132.36274933815002,322,322,319,314,0,1,0,6,0,2,0,0,False,132.23064136505127,0,0.03656506538391113
10,15,20,20,16,13,19,19,83,83,11,11,15,15,86,85,0.005463123321533203,0.02268385887145996,102.24839305877686,289,289,286,284,1,1,4,4,1,1,0,0,False,102.13262438774109,0,0.0323030948638916
10,15,22,22,15,10,19,19,108,106,16,16,15,15,96,93,0.006371021270751953,0.030394792556762695,142.90565609931946,396,396,387,381,3,4,12,16,3,4,0,0,False,142.7394940853119,0,0.043396949768066406
10,15,14,14,11,6,10,10,91,91,14,14,15,15,87,87,0.005816936492919922,0.02443099021911621,97.050283908844,328,328,321,317,1,1,4,4,1,1,0,0,False,96.9238166809082,0,0.03530526161193848
10,15,15,15,12,7,21,21,78,78,10,10,15,15,71,79,0.005331754684448242,0.02126908302307129,73.58366918563843,267,267,261,259,1,1,4,4,1,1,0,0,False,73.48160290718079,0,0.029860734939575195
10,15,18,18,14,10,17,17,71,69,9,9,15,15,78,83,0.0053479671478271484,0.019533872604370117,77.38705110549927,241,241,239,238,0,1,0,4,0,1,0,0,False,77.29217791557312,0,0.027824878692626953
10,15,17,17,15,8,24,24,78,78,9,9,15,15,71,85,0.005067110061645508,0.020081043243408203,61.30925798416138,254,254,251,249,0,0,0,0,0,0,0,0,True,61.10119128227234,0.04829883575439453,0.04601168632507324
10,15,24,24,23,12,28,28,73,73,8,8,15,15,56,63,0.005072116851806641,0.019138813018798828,88.38814997673035,248,248,246,240,1,1,6,6,2,2,0,0,True,88.08713173866272,0.08800268173217773,0.05987095832824707
10,15,14,14,14,10,22,22,49,49,5,5,15,15,58,58,0.004227161407470703,0.014292001724243164,40.01750111579895,163,163,161,159,1,1,4,4,1,1,0,0,True,39.8978431224823,0.022813796997070312,0.030648231506347656
10,15,19,19,17,10,16,16,100,100,14,14,15,15,106,93,0.006001710891723633,0.02637004852294922,151.4471480846405,345,345,340,337,0,0,0,0,0,0,0,0,False,151.30306315422058,0,0.03731369972229004
10,15,18,18,13,8,24,24,70,70,9,9,15,15,63,62,0.005412101745605469,0.020611047744750977,74.31412720680237,255,255,241,239,2,2,10,10,3,3,0,0,False,74.22025108337402,0,0.029102087020874023
10,15,20,20,17,9,14,14,83,83,12,12,15,15,75,83,0.004630088806152344,0.023319005966186523,70.56804132461548,300,300,297,292,1,1,6,6,2,2,0,0,True,70.31331849098206,0.0623631477355957,0.051483869552612305
10,15,8,8,6,2,16,16,117,117,18,18,15,15,110,117,0.006897926330566406,0.032714128494262695,86.17089104652405,418,418,413,408,3,3,14,14,4,4,0,0,False,85.9928867816925,0,0.04853320121765137
10,15,17,17,10,2,20,20,83,83,12,12,15,15,73,66,0.006350994110107422,0.023830652236938477,66.897047996521,309,309,296,293,3,3,14,14,4,4,0,0,False,66.784836769104,0,0.034852027893066406
10,15,20,20,15,11,15,15,105,105,15,15,15,15,87,117,0.006808757781982422,0.027450084686279297,147.3328320980072,365,365,359,353,0,0,0,0,0,0,0,0,False,147.1813805103302,0,0.03939080238342285
10,15,17,17,14,12,29,29,63,63,6,6,15,15,66,62,0.0047190189361572266,0.01690077781677246,66.4559371471405,201,201,199,198,1,1,4,4,1,1,0,0,False,66.37494802474976,0,0.024628877639770508
